prop	clks	bids	imps	budget	spend	algo	para
64	0	614638	0	706507	0	rand	2
64	0	614638	1	706507	1	rand	4
64	0	614638	547	706507	2180	rand	6
64	0	614638	3417	706507	16127	rand	8
64	2	614638	6125	706507	31389	rand	10
64	1	614638	9047	706507	52134	rand	12
64	4	614638	12329	706507	79775	rand	14
64	5	614638	16062	706507	115668	rand	16
64	6	614638	20119	706507	162255	rand	18
64	5	614638	24158	706507	214621	rand	20
64	9	614638	38765	706507	449953	rand	25
64	14	614638	52079	706507	689611	rand	30
64	12	427206	47597	706507	706513	rand	35
64	10	328205	44102	706507	706509	rand	40
64	12	264211	41413	706507	706522	rand	45
64	9	223711	39101	706507	706513	rand	50
64	9	188058	36138	706507	706535	rand	55
64	11	160097	33267	706507	706523	rand	60
64	12	136076	31502	706507	706515	rand	65
64	10	117180	29745	706507	706525	rand	70
64	10	94625	26858	706507	706541	rand	75
64	11	79862	24934	706507	706558	rand	80
64	12	67459	23021	706507	706533	rand	85
64	9	59706	21962	706507	706534	rand	90
64	6	53323	21228	706507	706519	rand	95
64	11	49320	20613	706507	706559	rand	100
64	8	42584	19389	706507	706518	rand	110
64	9	38516	18891	706507	706545	rand	120
64	11	34938	18213	706507	706526	rand	130
64	11	33181	18003	706507	706522	rand	140
64	8	31412	17486	706507	706526	rand	150
64	12	30006	17311	706507	706531	rand	160
64	9	27697	16815	706507	706549	rand	170
64	11	26043	16304	706507	706540	rand	180
64	9	24960	15957	706507	706562	rand	190
64	10	24088	15778	706507	706509	rand	200
64	10	23123	15419	706507	706510	rand	210
64	9	22058	15105	706507	706544	rand	220
64	12	21536	14934	706507	706564	rand	230
64	8	20605	14632	706507	706531	rand	240
64	8	20083	14448	706507	706565	rand	250
64	11	19368	14215	706507	706577	rand	260
64	7	18735	14002	706507	706508	rand	270
64	9	18280	13790	706507	706513	rand	280
64	9	17964	13768	706507	706575	rand	290
64	9	17781	13697	706507	706548	rand	300
64	10	17359	13534	706507	706508	rand	310
64	9	17148	13497	706507	706560	rand	320
64	9	16774	13333	706507	706513	rand	330
64	12	16657	13277	706507	706739	rand	340
64	7	16411	13234	706507	706518	rand	350
64	12	16212	13157	706507	706638	rand	360
64	6	16020	13069	706507	706510	rand	370
64	11	15610	12875	706507	706511	rand	380
64	7	15366	12760	706507	706552	rand	390
64	8	15315	12802	706507	706605	rand	400
64	8	15220	12687	706507	706587	rand	410
64	9	15029	12665	706507	706547	rand	420
64	8	14762	12587	706507	706733	rand	430
64	10	14821	12525	706507	706601	rand	440
64	4	14699	12551	706507	706542	rand	450
64	7	14664	12577	706507	706556	rand	460
64	7	14550	12560	706507	706592	rand	470
64	7	14363	12407	706507	706522	rand	480
64	9	14552	12533	706507	706641	rand	490
64	8	14138	12362	706507	706606	rand	500
64	467	614638	966	706507	84238	lin	2
64	468	614638	1003	706507	86382	lin	4
64	468	614638	1072	706507	87792	lin	6
64	468	614638	1196	706507	88942	lin	8
64	468	614638	1436	706507	91166	lin	10
64	468	614638	1846	706507	94437	lin	12
64	468	614638	2382	706507	98791	lin	14
64	468	614638	3095	706507	105251	lin	16
64	468	614638	3932	706507	112894	lin	18
64	468	614638	4915	706507	122472	lin	20
64	468	614638	7532	706507	151887	lin	25
64	468	614638	10557	706507	190201	lin	30
64	468	614638	13799	706507	238598	lin	35
64	469	614638	17235	706507	300096	lin	40
64	470	614638	20737	706507	366210	lin	45
64	470	614638	24305	706507	444340	lin	50
64	470	614638	28092	706507	531024	lin	55
64	471	614638	31908	706507	628971	lin	60
64	445	581403	34157	706507	706527	lin	65
64	311	400665	31954	706507	706529	lin	70
64	256	314845	29842	706507	706685	lin	75
64	224	250196	28284	706507	706515	lin	80
64	185	211622	27221	706507	706557	lin	85
